EVT-00001 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00393 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00394 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00395 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00396 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00397 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00398 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00399 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00400 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00401 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00402 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00403 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00404 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00405 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00406 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00407 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00408 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00409 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00410 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00411 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00412 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00413 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00414 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00415 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00416 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00417 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00418 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00419 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00420 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00421 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00422 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00423 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00424 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00425 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00426 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00427 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00428 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00429 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00430 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00431 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00432 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00433 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00434 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00435 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00436 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00437 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00438 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00439 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00440 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00441 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00442 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00443 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00444 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00445 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00446 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00447 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00448 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00449 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00450 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00451 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00452 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00453 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00454 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00455 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00456 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00457 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00458 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00459 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00460 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00461 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00462 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00463 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00464 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00465 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00466 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00467 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00468 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00469 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00470 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00471 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00472 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00473 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00474 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00475 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00476 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00477 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00478 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00479 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00480 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00481 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00482 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00483 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00484 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00485 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00486 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00487 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00488 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00489 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00490 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00491 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00492 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00493 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00494 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00495 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00496 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00497 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00498 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00499 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00500 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00501 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00502 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00503 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00504 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00505 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00506 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00507 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00508 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00509 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00510 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00511 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00512 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00513 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00514 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00515 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00516 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00517 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00518 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00519 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00520 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00521 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00522 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00523 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00524 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00525 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00526 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00527 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00528 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00529 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00530 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00531 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00532 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00533 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00534 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00535 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00536 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00537 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00538 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00539 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00540 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00541 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00542 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00543 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00544 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00545 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00546 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00547 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00548 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
